fid,shapeName,shapeiso,shapeid,shapegroup,shapetype,total_building_area,total_flooded_building_area,flooded_building_count,total_num_buildings,percentage_flooded,flooded_grid_length,total_grid_length,percentage_grid_flooded,_merge,relative_wealth_index,_merge2,flooded_road_length,total_roads_length,percentage_flooded_roads,_merge3,gdp_ppp,_merge4,flooded_cropland,cropland_not-affected,flooded_builtup,cropland,builtup,_merge5,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_above_65_2024,flooded_female_pop_2024,flooded_male_pop_2024,flooded_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024,_merge6,_merge7
3,Comilla Adarsha Sadar,,5055444B48258460974709,BGD,ADM3,11173343,9769.3662,70,149643,0.046999998,3400,29540,11.5,Matched (3),0.141135659,Matched (3),4980,595360,0.83999997,Matched (3),1475478144,Matched (3),22887.912,92472.69,978.87915,115360.6,163356.45,Matched (3),57.018963,9.1394758,47.879486,9.7785378,5.8206191,6897.8438,6274.8203,13172.664,2.71,4016.7148,8389.2188,766.73065,254799.84,231785.94,486585.78,Matched (3),Matched (3)
64,Maulvi Bazar Sadar,,5055444B59699637370048,BGD,ADM3,7401946.5,16998.773,300,82995,0.361,11320,90700,12.5,Matched (3),0.019169077,Matched (3),9240,418980,2.21,Matched (3),243951536,Matched (3),228196.08,374375.42,381.24512,602571.5,149733.17,Matched (3),53.393696,7.783093,45.610603,9.8097391,5.0727758,6667.8359,6461.521,13129.357,3.76,3900.9299,8562.5176,665.9093,177298.06,171842.98,349141.06,Matched (3),Matched (3)
87,Nangalkot,,5055444B76725439062785,BGD,ADM3,6430478.5,16343.984,408,123877,0.329,6920,54160,12.8,Matched (3),0.153279216,Matched (3),13260,376700,3.52,Matched (3),704046336,Matched (3),122252.65,226561.82,798.51105,348814.47,157644.23,Matched (3),57.018963,9.1394758,47.879486,9.7785378,5.8206191,6384.0093,5807.396,12191.405,3.43,3717.5015,7764.2886,709.6153,186341.02,169510.42,355851.44,Matched (3),Matched (3)
34,Laksam,,5055444B78219247274360,BGD,ADM3,5840859.5,7501.6948,252,108572,0.23199999,4720,44340,10.6,Matched (3),0.209874721,Matched (3),4580,243400,1.88,Matched (3),473493344,Matched (3),57791.258,154812.76,428.1362,212604.02,96905.609,Matched (3),57.018963,9.1394758,47.879486,9.7785378,5.8206191,6158.0225,5601.8203,11759.843,5.85,3585.906,7489.4409,684.49567,105297.52,95786.891,201084.41,Matched (3),Matched (3)
24,Cox's Bazar Sadar,,5055444B44088891115489,BGD,ADM3,9825902,447634.63,12426,149199,8.3280001,540,36100,1.5,Matched (3),0.182723893,Matched (3),33340,461140,7.23,Matched (3),2021165440,Matched (3),25517.201,136364.19,444.07529,161881.39,175905.5,Matched (3),61.794834,5.7176666,56.077168,11.557531,3.5338995,5481.5161,5760.3403,11241.856,2.43,3896.3633,6948.2168,397.27591,225345.8,236808.28,462154.09,Matched (3),Matched (3)
58,Kutubdia,,5055444B6774293613253,BGD,ADM3,1532983.8,32201.68,434,24313,1.785,0,0,,Matched (3),-0.052719843,Matched (3),7620,159340,4.7800002,Matched (3),412609056,Matched (3),9308,86369.63,28.511389,95677.625,25354.574,Matched (3),61.794834,5.7176671,56.077168,11.55753,3.5338993,4504.4224,4733.5454,9237.9678,7.47,3201.8269,5709.6802,326.46048,60293.559,63360.465,123654.02,Matched (3),Matched (3)
11,Banshkhali,,5055444B49096359165052,BGD,ADM3,9096345,78127.227,1058,154665,0.68400002,2320,52760,4.4000001,Matched (3),0.079519276,Matched (3),8060,360000,2.24,Matched (3),1272369152,Matched (3),54933.891,256141.80,145,311075.69,223254.56,Matched (3),44.281559,5.9632025,38.318356,8.4296913,4.1340585,4163.7432,4254.5264,8418.2695,2.76,2236.1467,5834.2241,347.89874,150603.55,153892.63,304496.16,Matched (3),Matched (3)
53,Sreemangal,,5055444B61286165049189,BGD,ADM3,6313192,10908.818,325,87716,0.37099999,4100,75480,5.4000001,Matched (3),-0.147890166,Matched (3),7540,371940,2.03,Matched (3),716744000,Matched (3),107210.09,289798.60,36.71508,397008.69,121570.55,Matched (3),52.592228,7.6999221,44.892303,9.616601,5.0460777,3829.0884,3714.0178,7543.1064,2.25,2219.1658,4943.3096,380.63101,169938.61,164831.67,334770.28,Matched (3),Matched (3)
2,Juri,,5055444B59468636811398,BGD,ADM3,3158482,13108.726,240,41757,0.57499999,5740,30240,19,Matched (3),-0.037356367,Matched (3),5800,47920,12.1,Matched (3),290124384,Matched (3),101002.7,137974.66,922.36151,238977.36,81264.188,Matched (3),52.592228,7.6999221,44.892303,9.616601,5.0460777,3544.5049,3437.9866,6982.4917,6.79,2054.2339,4575.9155,352.34195,52173.164,50605.273,102778.44,Matched (3),Matched (3)
75,Mahalchhari,,5055444B90687829441345,BGD,ADM3,1332859.8,2211.1563,75,25602,0.29300001,3680,21020,17.5,Matched (3),-0.362880553,Matched (3),2000,445260,0.44999999,Matched (3),79609688,Matched (3),31063.27,56085.43,190,87148.695,32948.809,Matched (3),51.546036,7.2718086,44.274227,9.3839912,4.7939272,3036.5459,3230.4424,6266.9883,12.30,1843.0828,4119.6074,304.29807,24754.406,26205.246,50959.652,Matched (3),Matched (3)
27,Banchharampur,,5055444B96018438653421,BGD,ADM3,4941778.5,12757.941,302,118642,0.255,3880,65820,5.9000001,Matched (3),0.194989973,Matched (3),2920,249760,1.17,Matched (3),865687040,Matched (3),15876.171,212117.24,629.94061,227993.41,173109.86,Matched (3),64.529205,9.0310555,55.498154,11.676194,5.4900432,3191.9165,2939.2676,6131.1841,2.20,2063.123,3731.1245,336.93671,145118.78,133732.34,278851.13,Matched (3),Matched (3)
4,Akhaura,,5055444B62959054248390,BGD,ADM3,3099599.5,7505.793,196,60787,0.322,6420,31020,20.700001,Matched (3),0.269625,Matched (3),7280,175000,4.1599998,Matched (3),306597696,Matched (3),48938.051,97505.34,294.7049,146443.39,64554.285,Matched (3),65.128571,9.0274067,56.101162,11.824917,5.4668956,3001.8872,2766.646,5768.5332,4.76,1959.8148,3493.3586,315.35971,63094.336,58149.984,121244.32,Matched (3),Matched (3)
84,Madhabpur,,5055444B26771557951521,BGD,ADM3,5855895,24865.465,102,84576,0.121,7160,66880,10.7,Matched (3),-0.139399878,Matched (3),1700,285140,0.60000002,Matched (3),757523968,Matched (3),86970.492,376100.64,540.01105,463071.13,172713.2,Matched (3),61.784588,8.662941,53.121647,11.553192,5.3533912,2894.2231,2762.2612,5656.4844,1.73,1839.8225,3515.5007,301.16113,167095.88,160479.7,327575.56,Matched (3),Matched (3)
76,Satkania,,5055444B15331282943417,BGD,ADM3,6912655.5,4546.2915,75,103574,0.071999997,560,55740,1,Matched (3),-0.078249181,Matched (3),80,348320,0.02,Matched (3),1313293568,Matched (3),5664.542,280800.59,80.153191,286465.13,173772.97,Matched (3),44.034763,5.9666629,38.068104,8.3856144,4.1425157,2696.7964,2754.3245,5451.1206,1.66,1440.7205,3784.5869,225.81354,161976.77,165432.06,327408.84,Matched (3),Matched (3)
50,Habiganj Sadar,,5055444B24382626124582,BGD,ADM3,6018861.5,55478.84,423,84205,0.50199997,5440,55160,9.8999996,Matched (3),-0.159066844,Matched (3),11400,243060,4.6900001,Matched (3),691646464,Matched (3),117022.23,326668.11,512.43805,443690.34,124225.67,Matched (3),60.040417,8.4728413,51.567577,11.411465,5.2941885,2561.8818,2463.0771,5024.959,1.64,1619.1219,3139.8062,266.03079,156624.06,150583.5,307207.56,Matched (3),Matched (3)
60,Chhagalnaiya,,5055444B26511265806420,BGD,ADM3,4607731,17835.813,329,59835,0.55000001,5660,28440,19.9,Matched (3),-0.071877411,Matched (3),2080,89880,2.3099999,Matched (3),538727552,Matched (3),92416.461,100186.48,966.71521,192602.94,96013.086,Matched (3),51.15921,9.0231714,42.136036,8.8893948,5.9693165,2566.4399,2377.8066,4944.2466,3.18,1378.2222,3270.887,295.13776,80756.695,74827.859,155584.55,Matched (3),Matched (3)
80,Ashuganj,,5055444B32932838704208,BGD,ADM3,3225152.3,10486.758,155,53536,0.28999999,2100,23280,9,Matched (3),0.158945717,Matched (3),680,140160,0.49000001,Matched (3),439669408,Matched (3),14145.053,83520.42,377.51697,97665.477,62133.598,Matched (3),65.128563,9.0274067,56.101162,11.824917,5.4668956,2455.1946,2262.7947,4717.9893,2.82,1602.9005,2857.1611,257.92755,87168.477,80337.57,167506.05,Matched (3),Matched (3)
68,Anowara,,5055444B66497559634365,BGD,ADM3,6260397,3058.929,70,93389,0.075000003,640,32000,2,Matched (3),0.479095073,Matched (3),2040,411600,0.5,Matched (3),1180157568,Matched (3),15176.725,169232.59,64,184409.31,112280.64,Matched (3),44.034763,5.9666629,38.0681,8.3856144,4.1425157,2293.0796,2341.9956,4635.0752,2.07,1225.0411,3218.0251,192.00871,110721.89,113083.81,223805.7,Matched (3),Matched (3)
51,Teknaf,,5055444B37552741338938,BGD,ADM3,7888933.5,75581.242,1910,123162,1.551,800,63660,1.3,Matched (3),-0.028820461,Matched (3),29260,844480,3.46,Matched (3),1032096320,Matched (3),5688.7017,109621.88,66,115310.58,155797.31,Matched (3),61.794834,5.7176671,56.077168,11.557531,3.5338995,2224.2576,2337.3972,4561.6548,1.70,1581.0436,2819.407,161.2043,131087.19,137755.11,268842.31,Matched (3),Matched (3)
62,Fatikchhari,,5055444B95801532899797,BGD,ADM3,14835170,104.039,5,240285,0.002,80,112800,0.1,Matched (3),-0.174077828,Matched (3),260,1282900,0.02,Matched (3),2035165184,Matched (3),7839.9551,528444.23,191,536284.19,379412.44,Matched (3),44.034763,5.9666629,38.068104,8.3856144,4.1425157,2099.4512,2144.2366,4243.6875,1.07,1121.5983,2946.2939,175.79543,196886.13,201086.11,397972.25,Matched (3),Matched (3)
17,Meghna,,5055444B22662076450588,BGD,ADM3,2214199.8,7426.6777,167,52252,0.31999999,920,5640,16.299999,Matched (3),0.289245455,Matched (3),2320,203440,1.14,Matched (3),336891744,Matched (3),5152.0083,105444.83,242.37912,110596.84,69406.516,Matched (3),54.596764,8.5639496,46.032814,9.559824,5.5086613,2041.0632,1899.4945,3940.5579,3.93,1171.137,2551.9971,217.42381,52503.512,47835.004,100338.52,Matched (3),Matched (3)
